Country,Capital,Currency,Official lang,HOG,Population
Mauritius,Port Louis,Mauritian rupee,English,Prime Minister – Pravind Jugnauth,1271347
Mexico,Mexico City,Mexican peso,Spanish,President – Andrés Manuel López Obrador,128655589
"Micronesia,
Federated States of",Palikir,U.S. Dollar,English,President – Peter M. Christian,548502
Moldova,Chisinau,Leu,Moldovan (Romanian),Prime Minister – Maia Sandu,4035814
Monaco,Monte Carlo,Euro,French; Italian; English,Minister of State – Serge Telle,39186
Mongolia,Ulaanbaatar,Togrog,Mongolian,Prime Minister – Ukhnaagiin Khürelsükh,3267320
Montenegro,Podgorica,Euro,Montenegrin,Prime Minister – Duško Markovi?,628050
Morocco,Rabat,Dirham,Arabic,Prime Minister- Saadeddine Othmani,36820713
Mozambique,Maputo,Metical,Portuguese,Prime Minister – Carlos Agostinho do Rosário,31067362
Myanmar (Burma),Nay Pyi Taw,Kyat,Burmese,President– Win Myint,54383708
Namibia,Windhoek,Namibian dollar,English; Afrikaans; German,Prime Minister – Saara Kuugongelwa,2531290
Nauru,"no official capital; government offices
in Yaren District",Australian dollar,English; Nauran,President – Lionel Aingimea,10810
Nepal,Kathmandu,Nepalese rupee,Nepali,Prime Minister – KP Sharma Oli,29027347
Netherlands,"Amsterdam; The
Hague (seat of government)",Euro (formerly guilder),Dutch,Prime Minister – Mark Rutte,17127290
New Zealand,Wellington,New Zealand dollar,English,Prime Minister – Jacinda,4814272
Nicaragua,Managua,Gold cordoba,Spanish,President – Daniel Ortega,6608366
Niger,Niamey,CFA Franc,French,Prime Minister – Brigi Rafini,24014064
Nigeria,Abuja,Naira,English,Prime Minister– Sir Abubakar Tafawa Balewa,205052107
Norway,Oslo,Norwegian krone,Norwegian,Prime Minister – Erna Solberg,5412632
Oman,Muscat,Omani rial,Arabic,"Sultan and Prime Minister
– Qaboos bin Said al Said",5078933
Pakistan,Islamabad,Pakistani rupee,Urdu; English,Prime Minister – Imran Khan,219992900
Palau,Melekeok,U.S. dollar,English; Palauan,Vice President – Thomas Remengesau Jr.,18077
Panama,Panama City,Balboa; U.S. dollar,Spanish,President – Laurentino Cortizo,4300667
Papua New Guinea,Port Moresby,Kina,English; Tok Pisin; Hiri Motu,Prime Minister – James Marape,8911530
Paraguay,Asuncion,Guaraní,Spanish; Guarani,President – Mario Abdo Benítez,7114524
Peru,Lima,Nuevo sol (1991),Spanish,Prime Minister – Salvador del Solar,32876986
Philippines,Manila,Peso,Filipino; English,President – Rodrigo Duterte,109280343
Poland,Warsaw,Zloty,Polish,Prime Minister – Mateusz Morawiecki,37854825
Portugal,Lisbon,Euro (formerly escudo),Portuguese,Prime Minister – António Costa,10202571
Qatar,Doha,Qatari riyal,Arabic,"Prime Minister – Sheikh Abdullah bin Nasser bin
Khalifa Al Thani",2870922
Republic of the Congo,Brazzaville,CFA Franc,French,Prime Minister –Clément Mouamba,89331385
Romania,Bucharest,Romanian Rupee,Romanian,Prime Minister – Viorica D?ncil?,19262731
Russia,Moscow,Ruble,Romanian,Prime Minister – Dmitry Medvedev,145922010
Rwanda,Kigali,Rwandan franc,Russian,Prime Minister – Édouard Ngirente,12883878
Saint Kitts and Nevis,Basseterre,East Caribbean dollar,English,Prime Minister – Timothy Harris,52441
Saint Lucia,Castries,East Caribbean dollar,English,Prime Minister – Allen Chastanet,183458
Saint Vincent and the Grenadines,Kingstown,East Caribbean dollar,English,Prime Minister – Ralph Gonsalves,110195
Samoa,Apia,Tala,"Samoan, English",Prime Minister – Tuilaepa Aiono Sailele Malielegaoi,198147
San Marino,San Marino,Euro,Italian,Pasquale Valentini,33917
Sao Tome and Principe,Sao Tome,Dobra,Portuguese,Prime Minister – Jorge Bom Jesus,"2,18,832"
Saudi Arabia,Riyadh,Riyal,Arabic,King and Prime Minister – Salman of Saudi Arabia,34701377
Senegal,Dakar,CFA Franc,French,Prime Minister – Mohammed Dionne,16649599
The Bahamas,Nassau,Bahamian dollar,English,Prime Minister – Hubert Minnis,392477
The Gambia,Banjul,Dalasi,English,President – Adama Barrow,2402083
Tonga,Nuku'alofa,Pa'anga,English,Prime Minister – Pohiva Tuionetoa,105449
Trinidad and Tobago,Port-of-Spain,Trinidad and Tobago dollar,English,Prime Minister – Keith Rowley,1398579
Tunisia,Tunis,Tunisian dinar,Arabic,Prime Minister-Youssef Chahed,11793319
Turkey,Ankara,Turkish lira (YTL),Turkish,Prime Minister – Binali Y?ld?r?m,84153250
Turkmenistan,Ashgabat,Manat,Turkmen,President – Gurbanguly Berdimuhamedow,6012850
Tuvalu,"Vaiaku village, Funafuti province",Tuvaluan Dollar,Tuvaluan; English,Prime Minister – Kausea Natano,11762
Uganda,Kampala,Ugandan new shilling,"Swahili, English, Luganda",Prime Minister – Ruhakana Rugunda,45427637
Ukraine,Kiev,Hryvnia,Ukrainian,Prime Minister – Oleksiy Honcharuk,43785122
United Arab Emirates,Abu Dhabi,U.A.E. Dirham,Arabic,"Prime Minister – Sheikh Mohammed bin Rashid Al
Maktoum",9865845
United Kingdom,London,Pound sterling,English,Prime Minister – Boris Johnson,67814098
United States of America,Washington D.C.,Dollar,English,President – Donald Trump,330610570
Uruguay,Montevideo,Uruguay peso,Spanish,President – Tabaré Vázquez,3471314
Uzbekistan,Tashkent,Uzbekistani sum,Uzbek,Prime Minister – Abdulla Aripov,33368859
Vanuatu,Port-Vila,Vatu,"Bislama, French, English",Prime Minister – Charlot Salwai,305623
Vatican City (Holy See),Vatican City,Euro,Italian,Cardinal Pietro Parolin,256
Venezuela,Caracas,Bolivar,Spanish,President – Juan Guaidó,28451828
Vietnam,Hanoi,Dong,Vietnamese,Nguy?n Phú Tr?ng,97160127
Yemen,Sanaa,Rial,Arabic,Prime Minister – Ahmed Obeid bin Daghr,29687214
Zambia,Lusaka,Kwacha,English,President – Edgar Lungu,18273379
Zimbabwe,Harare,United States dollar,"English, Shona, Ndebele",President –Emmerson Mnangagwa,14818157
