Country,Capital,Currency,Official lang,HOG,Population,Flags
Equatorial Guinea,Malabo,CFA Franc,Spanish; French; Portuguese,Prime Minister –Francisco Pascual Obama Asue,1392950,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/equatorial_guinea.gif
Eritrea,Asmara,Nakfa,Arabic; Tigrinya; English,President – Isaias Afwerki,3536285,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/eritrea.gif
Estonia,Tallinn,Estonia Kroon; Euro,Estonian,Prime Minister – Jüri Ratas,1326357,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/estonia.gif
Ethiopia,Addis Ababa,Birr,Amharic,Prime Minister – Abiy Ahmed,1.14E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/ethiopia.gif
Fiji,Suva,Fiji dollar,English; Bau Fijian; Hindi,Prime Minister – Frank Bainimarama,895128,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/fiji.gif
Finland,Helsinki,Euro (formerly markka),Finnish; Swedish,Prime Minister – Juha Sipilä,5539002,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/finland.gif
France,Paris,Euro (formerly French franc),French,Prime Minister – Édouard Philippe,65244628,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/france.gif
Gabon,Libreville,CFA Franc,French,Prime Minister – Julien Nkoghe Bekale,2214593,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/gabon.gif
Georgia,Tbilisi,Lari,Georgian,Prime Minister – Salome Zurabishvili,3990681,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/gabon.gif
Germany,Berlin,Euro (formerly Deutsche mark),German,Chancellor – Frank- Walter Steinmeier,83730223,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/germany.gif
Ghana,Accra,Cedi,English,President - Nana Akufo- Addo,30936375,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/ghana.gif
Greece,Athens,Euro (formerly drachma),Greek,Prime Minister –Kyriakos Mitsotakis,10433037,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/greece.gif
Grenada,Saint George's,East Caribbean dollar,English; Patois,Prime Minister – Keith Mitchell,112418,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/grenada.gif
Guatemala,Guatemala City,Quetzal,Spanish,President – Jimmy Morales,17846248,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/guatemala.gif
Guinea,Conakry,Guinean franc,French,Prime Minister –Ibrahima Kassory Fofana,13056478,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/guinea.gif
Guinea-Bissau,Bissau,CFA Franc,Portuguese,Prime Minister –Aristides Gomes,1958132,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/guinea_bissau.gif
Guyana,Georgetown,Guyanese dollar,English,Prime Minister – Moses Nagamootoo,785788,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/guyana.gif
Haiti,Port-au-Prince,Gourde,Haitian Creole; French,Prime Minister – Jean- Michel Lapin,11373955,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/haiti.gif
Honduras,Tegucigalpa,Lempira,Spanish,President – Juan Orlando Hernández,9871892,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/honduras.gif
Hungary,Budapest,Forint,Hungarian,Prime Minister – Viktor Orbán,9665192,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/hungary.gif
Iceland,Reykjavik,Icelandic króna,Icelandic,Prime Minister – Katrín Jakobsdóttir,340795,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/iceland.gif
India,New Delhi,Indian Rupee,Hindi; English,Prime Minister – Narendra Modi,1.38E+09,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/india.gif
Indonesia,Jakarta,Rupiah,Indonesian,President – Joko Widodo,2.73E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/indonesia.gif
Iran,Tehran,Rial,Persian,President – Hassan Rouhani,83771587,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/iran.gif
Iraq,Baghdad,Iraqi Dinar,Arabic; Kurdish,Prime Minister – Adil Abdul-Mahdi,40031626,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/iraq.gif
Ireland,Dublin,Euro (formerly Irish pound [punt]),English; Irish,"Prime Minister-Taoiseach
– Leo Varadkar",4926480,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/ireland.gif
Israel,Jerusalem*,Shekel,Hebrew; Arabic,Prime Minister – Benjamin Netanyahu,8627444,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/israel.gif
