Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family
enclose,4828,33334,enfold,-1,2,2,None
enclose,4828,33876,immure,-1,2,2,None
enclose,4828,33877,jail,3,2,2,None
enclose,4828,33923,enshroud,-1,2,2,None
sin,1571,111,wrong,1,3,1,None
sin,1571,1195,evil,4,3,1,None
sin,1571,1575,crime,3,3,1,None
sin,1571,1952,guilt,4,3,1,None
sin,1571,3277,pride,4,2,1,None
sin,1571,4095,anger,4,2,1,None
sin,1571,4266,damnation,-1,2,1,None
sin,1571,6121,vice,5,2,1,None
sin,1571,6128,gluttony,-1,2,1,None
sin,1571,6204,deficiency,5,2,1,None
sin,1571,7863,transgression,-1,3,1,None
sin,1571,8578,debt,4,2,1,None
sin,1571,8658,wrongdoing,-1,3,1,None
sin,1571,10235,imperfection,-1,2,1,None
sin,1571,10791,peccadillo,-1,2,1,None
sin,1571,11597,shortcoming,5,3,1,None
sin,1571,11911,demerit,-1,2,1,None
sin,1571,13964,violation,5,3,1,None
sin,1571,14451,misdeed,-1,3,1,None
sin,1571,20205,offense,-1,3,1,None
sin,1571,21455,iniquity,-1,2,1,None
sin,1571,22928,sloth,-1,2,1,None
sin,1571,29273,tort,-1,2,1,None
sin,1571,30916,immorality,-1,3,1,None
somewhat,1558,251,well,1,1,3,None
somewhat,1558,805,far,2,3,3,None
somewhat,1558,904,quite,3,3,3,None
somewhat,1558,4779,partially,5,3,3,None
somewhat,1558,6826,adequately,4,1,3,None
somewhat,1558,8346,significantly,4,3,3,None
somewhat,1558,14511,moderately,6,3,3,None
somewhat,1558,30812,tolerably,-1,1,3,None
whereabouts,36755,537,place,1,2,3,None
whereabouts,36755,1362,spot,3,2,3,None
whereabouts,36755,2210,site,3,2,3,None
remorse,7463,1540,sorrow,6,1,2,None
remorse,7463,1952,guilt,4,1,2,None
remorse,7463,2284,anguish,-1,1,2,None
remorse,7463,5335,compassion,5,1,2,None
remorse,7463,6376,penitence,-1,2,2,None
remorse,7463,7425,penance,-1,1,2,None
remorse,7463,7487,repentance,-1,1,2,None
remorse,7463,9174,rue,-1,2,2,None
remorse,7463,17560,attrition,-1,2,2,None
remorse,7463,21465,compunction,-1,2,2,None
remorse,7463,32272,pity,4,1,2,None
remorse,7463,32881,shame,2,1,2,None
remorse,7463,33041,regret,4,1,2,None
remorse,7463,33864,contrition,-1,1,2,None
remorse,7463,35599,grief,4,1,2,None
perception,32820,19,picture,1,2,3,perception
perception,32820,87,feeling,3,1,3,perception
perception,32820,474,light,3,2,3,perception
perception,32820,651,observation,4,2,3,perception
perception,32820,884,sense,4,1,3,perception
perception,32820,922,flash,4,2,3,perception
perception,32820,1036,grasp,5,2,3,perception
perception,32820,1079,approach,3,1,3,perception
perception,32820,1605,brainchild,-1,2,3,perception
perception,32820,1831,taste,3,1,3,perception
perception,32820,1989,attention,3,1,3,perception
perception,32820,2272,study,1,2,3,perception
perception,32820,2351,concept,4,1,3,perception
perception,32820,2355,image,6,1,3,perception
perception,32820,2988,knowledge,3,1,3,perception
perception,32820,3692,sensation,4,2,3,perception
perception,32820,4341,insight,5,2,3,perception
perception,32820,4873,conceit,-1,2,3,perception
perception,32820,5661,viewpoint,4,1,3,perception
perception,32820,6365,judgment,6,1,3,perception
perception,32820,6397,conception,6,2,3,perception
perception,32820,14335,discernment,-1,2,3,perception
perception,32820,21445,sagacity,-1,2,3,perception
perception,32820,31304,awareness,5,1,3,perception
perception,32820,31392,acumen,-1,2,3,perception
perception,32820,31397,perspicacity,-1,2,3,perception
perception,32820,31412,notion,5,1,3,perception
perception,32820,32110,consciousness,5,1,3,perception
perception,32820,32819,apprehension,-1,2,3,perception
perception,32820,32858,plan,2,2,3,perception
perception,32820,32935,impression,4,1,3,perception
perception,32820,33178,recognition,6,1,3,perception
perception,32820,33659,attitude,3,1,3,perception
perception,32820,33660,opinion,3,1,3,perception
thoughtless,21500,156,short,1,1,2,None
thoughtless,21500,1123,sharp,3,1,2,None
thoughtless,21500,3483,reckless,6,3,2,None
thoughtless,21500,4457,antisocial,5,3,2,None
thoughtless,21500,5036,unconcerned,-1,1,2,None
thoughtless,21500,5590,hasty,-1,1,2,None
thoughtless,21500,9789,primitive,5,1,2,None
thoughtless,21500,10450,brash,-1,1,2,None
thoughtless,21500,11056,impolite,4,3,2,None
thoughtless,21500,12745,insensitive,5,3,2,None
thoughtless,21500,12827,apathetic,-1,1,2,None
thoughtless,21500,13132,selfish,3,1,2,None
thoughtless,21500,14899,rash,6,1,2,None
thoughtless,21500,15031,neglectful,-1,1,2,None
thoughtless,21500,15882,unrefined,-1,1,2,None
thoughtless,21500,16151,madcap,-1,1,2,None
thoughtless,21500,16284,inattentive,-1,1,2,None
thoughtless,21500,16962,rude,3,3,2,None
thoughtless,21500,18688,unceremonious,-1,1,2,None
thoughtless,21500,19880,unmindful,-1,1,2,None
thoughtless,21500,20698,negligent,6,1,2,None
thoughtless,21500,23446,heedless,-1,1,2,None
thoughtless,21500,29436,blind,3,1,2,None
ordeal,34212,1398,nightmare,3,1,2,None
ordeal,34212,1958,difficulty,3,1,2,None
ordeal,34212,2284,anguish,-1,1,2,None
ordeal,34212,2330,agony,-1,1,2,None
ordeal,34212,2492,test,1,2,2,None
ordeal,34212,2661,trial,4,1,2,None
ordeal,34212,4193,torture,6,1,2,None
ordeal,34212,6442,torment,-1,1,2,None
ordeal,34212,7829,distress,5,2,2,None
ordeal,34212,8762,calamity,-1,1,2,None
ordeal,34212,10653,affliction,-1,2,2,None
ordeal,34212,12543,tribulation,-1,2,2,None
ordeal,34212,17266,crucible,-1,2,2,None
ordeal,34212,32336,cross,2,2,2,None
ordeal,34212,33086,visitation,-1,2,2,None
massacre,10924,3659,slaughter,6,3,2,None
massacre,10924,3684,murder,3,3,2,None
massacre,10924,4749,assassination,5,3,2,None
massacre,10924,12400,genocide,5,3,2,None
massacre,10924,12674,bloodshed,-1,3,2,None
massacre,10924,12873,carnage,-1,3,2,None
massacre,10924,15905,bloodbath,-1,3,2,None
massacre,10924,18111,decimation,-1,2,2,None
undergraduate,14969,951,senior,4,3,4,None
undergraduate,14969,2327,student,1,3,4,None
undergraduate,14969,8194,junior,4,3,4,None
undergraduate,14969,12698,sophomore,-1,3,4,None
undergraduate,14969,31080,freshman,-1,3,4,None
digest,14978,3516,brief,3,2,2,None
digest,14978,3805,abstract,4,2,2,None
digest,14978,4419,survey,4,2,2,None
digest,14978,4697,sketch,6,2,2,None
digest,14978,4983,summary,4,2,2,None
digest,14978,9704,epitome,-1,2,2,None
digest,14978,14430,compendium,-1,2,2,None
digest,14978,19686,condensation,-1,2,2,None
digest,14978,19891,syllabus,6,2,2,None
squeak,12476,368,cry,2,2,1,None
squeak,12476,441,sing,1,2,1,None
squeak,12476,547,peep,6,2,1,None
squeak,12476,627,sound,2,2,1,None
squeak,12476,912,scream,3,2,1,None
squeak,12476,2252,squeal,-1,3,1,None
squeak,12476,3455,pipe,3,2,1,None
squeak,12476,5610,creak,-1,3,1,None
